kubun,data_kubun,bunya_code,bunya_name,chuubunrui_code,chuubunrui_name,shoubunrui_code,shoubunrui_name,koumoku_code,koumoku_name_full,koumoku_name,koumoku_sub,tani,period,min_year,max_year,stat_name,stat_name2,stat_url,stat_url2,stat_domain,stat_minister,stat_source,stat_create,stat_memo,koumoku_type_code,koumoku_type,cancel_flg,is_observations_pref
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A1101,総人口,総人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"総人口とは、国勢調査及び人口推計にいう「人口」をさす。

　国勢調査で調査した人口は、調査時の人口である。日本国内に常住する外国人は、基本的に調査の対象としているが、次の者は調査の対象から除外している。

　(1)外国政府の外交使節団・領事機関の構成員(随員を含む。)及びその家族

　(2)外国軍隊の軍人・軍属及びその家族

　 また、調査したのは「常住人口」である。常住人口とは、調査時に常住している場所で調査する方法（常住地方式）による人口をいう。ここで「常住している」とは、当該住居に３か月以上にわたって住んでいるか、又は住むことになっていることをいい、３か月以上にわたって住んでいる住居又は住むことになっている住居のない者は、調査時にいた場所に「常住している」とみなしている。



　次の者については、それぞれ次に述べる場所に「常住している者」とみなしてその場所で調査している。",1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A110101,総人口（男）,総人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"総人口とは、国勢調査及び人口推計にいう「人口」をさす。

　国勢調査で調査した人口は、調査時の人口である。日本国内に常住する外国人は、基本的に調査の対象としているが、次の者は調査の対象から除外している。

　(1)外国政府の外交使節団・領事機関の構成員(随員を含む。)及びその家族

　(2)外国軍隊の軍人・軍属及びその家族

　 また、調査したのは「常住人口」である。常住人口とは、調査時に常住している場所で調査する方法（常住地方式）による人口をいう。ここで「常住している」とは、当該住居に３か月以上にわたって住んでいるか、又は住むことになっていることをいい、３か月以上にわたって住んでいる住居又は住むことになっている住居のない者は、調査時にいた場所に「常住している」とみなしている。



　次の者については、それぞれ次に述べる場所に「常住している者」とみなしてその場所で調査している。",1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A110102,総人口（女）,総人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,"総人口とは、国勢調査及び人口推計にいう「人口」をさす。

　国勢調査で調査した人口は、調査時の人口である。日本国内に常住する外国人は、基本的に調査の対象としているが、次の者は調査の対象から除外している。

　(1)外国政府の外交使節団・領事機関の構成員(随員を含む。)及びその家族

　(2)外国軍隊の軍人・軍属及びその家族

　 また、調査したのは「常住人口」である。常住人口とは、調査時に常住している場所で調査する方法（常住地方式）による人口をいう。ここで「常住している」とは、当該住居に３か月以上にわたって住んでいるか、又は住むことになっていることをいい、３か月以上にわたって住んでいる住居又は住むことになっている住居のない者は、調査時にいた場所に「常住している」とみなしている。



　次の者については、それぞれ次に述べる場所に「常住している者」とみなしてその場所で調査している。",1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A1102,日本人人口,日本人人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,日本人人口とは、国勢調査及び人口推計による人口（日本と外国の国籍を有する者を含む。）のうち、日本の国籍を有する者をいう。,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A110201,日本人人口（男）,日本人人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,日本人人口とは、国勢調査及び人口推計による人口（日本と外国の国籍を有する者を含む。）のうち、日本の国籍を有する者をいう。,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A11,人口,A110202,日本人人口（女）,日本人人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,日本人人口とは、国勢調査及び人口推計による人口（日本と外国の国籍を有する者を含む。）のうち、日本の国籍を有する者をいう。,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1201,0～4歳人口,0～4歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120101,0～4歳人口（男）,0～4歳人口,（男）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A120102,0～4歳人口（女）,0～4歳人口,（女）,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
p,基礎項目,A,人口・世帯,A1,人口の規模・構造,A12,年齢5歳階級別人口等,A1202,5～9歳人口,5～9歳人口,,人,毎年,1975,2024,国勢調査報告,人口推計,URL,URL2,Domain,総務省統計局,総務省統計局,,,1,実数,,
